,ENAC,binary,NCP,EIIP,Kmer4,CKSNAP,PseEIIP,TNC,RCKmer5,SCPseTNC,PCPseTNC,ANF,NAC,TAC
4mC_A.thaliana2,0.8343504024055894,0.832979570177766,0.8338639780666843,0.7991951888210843,0.6406208543380207,0.6525161404439728,0.6228442557707615,0.6242593083930309,0.632351640576634,0.6282391438931635,0.6254532590430707,0.6155921110816308,0.5638984699743522,0.5676572035022552
4mC_C.elegans2,0.8982002249718786,0.8982002249718786,0.8993250843644545,0.8421447319085115,0.6207349081364829,0.6582302212223472,0.5744281964754405,0.5738657667791526,0.5943007124109486,0.5727409073865767,0.5714285714285714,0.6876640419947506,0.5028121484814398,0.5108736407949006
4mC_C.equisetifolia,0.7950819672131147,0.7896174863387978,0.7814207650273224,0.674863387978142,0.7513661202185792,0.7404371584699454,0.7431693989071039,0.7404371584699454,0.7540983606557377,0.773224043715847,0.7786885245901639,0.6857923497267759,0.7513661202185792,0.7650273224043715
4mC_D.melanogaster2,0.9185667752442996,0.9191096634093376,0.9180238870792616,0.868485342019544,0.7001900108577633,0.7174267100977199,0.6913680781758957,0.6913680781758957,0.6970684039087948,0.6915038002171553,0.6934039087947883,0.6566232356134636,0.5831976112920738,0.630700325732899
4mC_E.coli2,0.8809523809523809,0.8849206349206349,0.9166666666666666,0.7619047619047619,0.5873015873015873,0.5753968253968254,0.5873015873015873,0.5952380952380952,0.5912698412698413,0.5793650793650794,0.5912698412698413,0.6111111111111112,0.5119047619047619,0.6031746031746031
4mC_F.vesca,0.8221068624968346,0.8229298556596607,0.8241326918207141,0.7313876930868575,0.6827044821473791,0.6940364649278298,0.6790959736642188,0.6790959736642188,0.6768802228412256,0.6785262091668777,0.6863762977969106,0.6281970119017473,0.6417447455051912,0.6226259812610787
4mC_G.pickeringii2,0.7946280991735537,0.8161157024793388,0.8338842975206612,0.7566115702479339,0.5814049586776859,0.5884297520661157,0.587603305785124,0.5789256198347107,0.6,0.5880165289256198,0.6,0.6004132231404958,0.5024793388429752,0.5574380165289257
4mC_G.subterraneus2,0.7564126923807715,0.7560326809804294,0.7548926467794034,0.6785103553106593,0.5713471404142124,0.5545316359490785,0.5323009690290709,0.5300209006270188,0.5691620748622459,0.5373361200836025,0.5292608778263348,0.5722971689150674,0.5000950028500855,0.552916587497625
4mC_S.cerevisiae,0.6946410515672397,0.6835187057633973,0.6769464105156724,0.5884732052578362,0.5904954499494439,0.5879676440849343,0.5793731041456016,0.5783619817997978,0.5798786653185035,0.5758341759352882,0.576845298281092,0.5763397371081901,0.5136501516683518,0.5358948432760364
4mC_Tolypocladium,0.718648049066945,0.7089912566879812,0.7126451781286702,0.618621949628083,0.5533733524729219,0.5630301448518857,0.5540910870416286,0.558332245856714,0.5384966723215451,0.5506329113924051,0.5618556701030928,0.5797990343207621,0.5317760668145635,0.5360824742268041
