,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Rank_11,Rank_12,Rank_13,Rank_14
4mC_A.thaliana2,ENAC,NCP,binary,EIIP,CKSNAP,Kmer4,RCKmer5,SCPseTNC,PCPseTNC,TNC,PseEIIP,ANF,TAC,NAC
4mC_C.elegans2,NCP,ENAC,binary,EIIP,ANF,CKSNAP,Kmer4,RCKmer5,PseEIIP,TNC,SCPseTNC,PCPseTNC,TAC,NAC
4mC_C.equisetifolia,ENAC,binary,NCP,PCPseTNC,SCPseTNC,TAC,RCKmer5,Kmer4,NAC,PseEIIP,CKSNAP,TNC,ANF,EIIP
4mC_D.melanogaster2,binary,ENAC,NCP,EIIP,CKSNAP,Kmer4,RCKmer5,PCPseTNC,SCPseTNC,PseEIIP,TNC,ANF,TAC,NAC
4mC_E.coli2,NCP,binary,ENAC,EIIP,ANF,TAC,TNC,RCKmer5,PCPseTNC,Kmer4,PseEIIP,SCPseTNC,CKSNAP,NAC
4mC_F.vesca,NCP,binary,ENAC,EIIP,CKSNAP,PCPseTNC,Kmer4,PseEIIP,TNC,SCPseTNC,RCKmer5,NAC,ANF,TAC
4mC_G.pickeringii2,NCP,binary,ENAC,EIIP,ANF,RCKmer5,PCPseTNC,CKSNAP,SCPseTNC,PseEIIP,Kmer4,TNC,TAC,NAC
4mC_G.subterraneus2,ENAC,binary,NCP,EIIP,ANF,Kmer4,RCKmer5,CKSNAP,TAC,SCPseTNC,PseEIIP,TNC,PCPseTNC,NAC
4mC_S.cerevisiae,ENAC,binary,NCP,Kmer4,EIIP,CKSNAP,RCKmer5,PseEIIP,TNC,PCPseTNC,ANF,SCPseTNC,TAC,NAC
4mC_Tolypocladium,ENAC,NCP,binary,EIIP,ANF,CKSNAP,PCPseTNC,TNC,PseEIIP,Kmer4,SCPseTNC,RCKmer5,TAC,NAC
