N,4mC_A.thaliana,4mC_C.elegans,4mC_D.melanogaster,4mC_E.coli,4mC_G.subterraneus,4mC_G.pickeringii
1,0.856159007966095,0.9141351774100601,0.9078928571428572,0.959375,0.8209394598745681,0.8644859813084113
2,0.8613879841462936,0.9170165472956285,0.9123571428571429,0.959375,0.837002431844362,0.8839563862928349
3,0.8598281207079229,0.9158228369144644,0.9124642857142857,0.965625,0.836490464610265,0.8901869158878505
4,0.8669308951065416,0.9215444142586647,0.9134642857142857,0.9625,0.8357225137591194,0.911993769470405
5,0.8682945493073814,0.9199390796081337,0.9201607142857143,0.971875,0.8383463458338666,0.9091381100726895
6,0.8696091511988384,0.9173870091380588,0.9181964285714286,0.975,0.8391782925892742,0.9166666666666666
7,0.8661362476945415,0.9162344611838315,0.9185535714285714,0.959375,0.8357865096633815,0.9140706126687436
8,0.8674704705097516,0.9178809582612991,0.9194821428571428,0.96875,0.8494816331754768,0.9114745586708204
9,0.8654298944394302,0.9180456079690459,0.9149107142857142,0.959375,0.8549212850377576,0.9088785046728972
10,0.8642526390142448,0.9140528525561867,0.915125,0.959375,0.8558812236016895,0.9140706126687436
11,0.8626142918808618,0.9171400345764387,0.9137321428571429,0.9625,0.8526814283885832,0.9132917964693665
12,0.8638111682298003,0.9153288877912241,0.9112857142857143,0.9625,0.8554332522718546,0.9052440290758048
13,0.8626142918808618,0.916563760599325,0.911875,0.96875,0.8524894406757968,0.9122533748701973
14,0.865371031668171,0.9159051617683379,0.914875,0.9625,0.8544093178036606,0.9135514018691588
best_n,6.0,4.0,5.0,6.0,10.0,6.0
